disaron_nom,nom_fichier,url_fichier
IraAbo21078,2021_78_InforapPorcins.pdf,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo21078/2021_78_InforapPorcins.pdf
IraAbo21079,2021_79_InforapOvins.pdf,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo21079/2021_79_InforapOvins.pdf
IraAbo21110,2021_110_InforapPorcins.pdf,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo21110/2021_110_InforapPorcins.pdf
IraAbo21111,2021_111_InforapOvins.pdf,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo21111/2021_111_InforapOvins.pdf
IraAbo21127,2021_127_InforapBovins.pdf,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo21127/2021_127_InforapBovins.pdf
IraAbo21128,2021_128_InforapPorcins.pdf,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo21128/2021_128_InforapPorcins.pdf
IraAbo21129,2021_129_InforapOvins.pdf,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo21129/2021_129_InforapOvins.pdf
IraAbo21144,2021_144_InforapBovins.pdf,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo21144/2021_144_InforapBovins.pdf
IraAbo21146,2021_146_InforapOvins.pdf,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo21146/2021_146_InforapOvins.pdf
IraAbo21157,2021_157_InforapBovins.pdf,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo21157/2021_157_InforapBovins.pdf
IraAbo21158,2021_158_InforapPorcins.pdf,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo21158/2021_158_InforapPorcins.pdf
IraAbo21159,2021_159_InforapOvins.pdf,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo21159/2021_159_InforapOvins.pdf
IraAbo21173,2021_173_InforapBovins.pdf,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo21173/2021_173_InforapBovins.pdf
IraAbo21174,2021_174_InforapPorcins.pdf,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo21174/2021_174_InforapPorcins.pdf
IraAbo21175,2021_175_InforapOvins.pdf,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo21175/2021_175_InforapOvins.pdf
IraAbo22010,2022_10_InforapBovins.pdf,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo22010/2022_10_InforapBovins.pdf
IraAbo22011,2022_11_InforapPorcinsV2.pdf,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo22011/2022_11_InforapPorcinsV2.pdf
