Disaron_lien_origine,Nom_Disaron,Titre Disaron,Paru le,Annee_1re publication,Publication-Tableau-Carte,Collection Libellé Agreste,Sous-Collection Libellé Agreste,Sous-collection (nom court),Thèmes_CORRIGÉS,Thème CORRIGÉ-1,Thème CORRIGÉ-2,NB-THEM,Pondération,Descripteurs
,IraFru25153,"Stocks Pommes-Poires. Fin octobre 2025, des stocks de pommes en baisse et de poires en hausse sur un an",2025_11,2025,p,Conjoncture – Infos Rapides,Infos Rap - Fruits,Fruits,FRUIT,,,,,
,IraPra25154,"Prairies. En 2025, une pousse de l’herbe inférieure à la normale",2025_11,2025,p,Conjoncture – Infos Rapides,Infos Rap - Prairies,Prairies,FOURRAGE,,,,,
,IraAbo25155,"Ovins. En octobre, augmentation des abattages d’ovins",2025_11,2025,p,Conjoncture – Infos Rapides,Infos Rap - Animaux,Animaux,CAPOV,,,,,OVIN
,IraLeg25156,Concombre. Production annuelle en hausse et prix bas en fin de campagne,2025_11,2025,p,Conjoncture – Infos Rapides,Infos Rap - Légumes,Légumes,LEGUME,,,,,CONCOMBRE
,IraLeg25157,Endive. Des prix faibles sur le début de la campagne 2025-2026,2025_11,2025,p,Conjoncture – Infos Rapides,Infos Rap - Légumes,Légumes,LEGUME,,,,,ENDIVE| PRIX| CONJONCTURE| RÉCOLTE| COMMERCE EXTÉRIEUR| PRODUCTION VÉGÉTALE
,IraLeg25158,Tomate. Une production nationale en léger recul et des prix de fin de campagne en retrait,2025_11,2025,p,Conjoncture – Infos Rapides,Infos Rap - Légumes,Légumes,LEGUME,,,,,TOMATE
,IraAbo25159,"Bovins. En octobre 2025, repli des abattages de bovins et nouvelle hausse des cours",2025_11,2025,p,Conjoncture – Infos Rapides,Infos Rap - Animaux,Animaux,BOVIN,,,,,BOVIN
,IraPri25161,"Prix agricoles et alimentaires. En octobre 2025, les prix à la production agricole sont en hausse de 1,6 % sur un an",2025_11,2025,p,Conjoncture – Infos Rapides,Infos Rap - Prix,Prix,PRIX,,,,,
,IraLeg25167,"Chou-fleur. En novembre, une offre excédentaire qui pèse fortement sur les cours",2025_11,2025,p,Conjoncture – Infos Rapides,Infos Rap - Légumes,Légumes,LEGUME,,,,,CHOU-FLEUR
,IraAbo25160,"Porcins. En octobre, nouvelle hausse des abattages de porcs sur un an",2025_12,2025,p,Conjoncture – Infos Rapides,Infos Rap - Animaux,Animaux,PORC,,,,,
,IraAvi25162,"Aviculture. En octobre 2025, des abattages de volailles en hausse sur un an",2025_12,2025,p,Conjoncture – Infos Rapides,Infos Rap - Aviculture,Aviculture,VOLAIL,,,,,
