disaron_nom,nom_fichier,success,url_fichier
IraFru2491,2024_91donneesStockpommespoires.xlsx,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraFru2491/2024_91donneesStockpommespoires.xlsx
IraFru25123,2025_123inforapFraise.pdf,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraFru25123/2025_123inforapFraise.pdf
IraFru25123,2025-123InforapFraise.xlsx,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraFru25123/2025-123InforapFraise.xlsx
IraFru25153,2025_153inforapStocksPommesPoires.pdf,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraFru25153/2025_153inforapStocksPommesPoires.pdf
IraFru25153,2025_153donneesStockpommespoires.xlsx,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraFru25153/2025_153donneesStockpommespoires.xlsx
IraFru2589,2025_89inforapPomme.pdf,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraFru2589/2025_89inforapPomme.pdf
IraFru2589,2025_89donneespomme.xlsx,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraFru2589/2025_89donneespomme.xlsx
IraFru2605,2026_5inforapStocksPommesPoires.pdf,1,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraFru2605/2026_5inforapStocksPommesPoires.pdf
IraFru2605,2026_5donneesStockpommespoires.xlsx,1,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraFru2605/2026_5donneesStockpommespoires.xlsx
IraGcu18017,2018_017inforapgrandescultures.pdf,1,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraGcu18017/2018_017inforapgrandescultures.pdf
IraGcu18017,2018_017donneesdeptgrandescultures.xls,1,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraGcu18017/2018_017donneesdeptgrandescultures.xls
IraGcu18017,2018_017donneesgrandescultures.xls,1,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraGcu18017/2018_017donneesgrandescultures.xls
IraGcu19130,2019_130inforapgdescultures.pdf,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraGcu19130/2019_130inforapgdescultures.pdf
IraGcu19130,2019_130donneesgrandescultures.xls,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraGcu19130/2019_130donneesgrandescultures.xls
IraGcu19130,2019_130donneesdeptgrandescultures.xls,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraGcu19130/2019_130donneesdeptgrandescultures.xls
IraGcu21090,2021_90inforapgdescultures.pdf,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraGcu21090/2021_90inforapgdescultures.pdf
IraGcu21090,2021_90donneesdeptgrandescultures.xls,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraGcu21090/2021_90donneesdeptgrandescultures.xls
IraGcu21090,2021_90donneesgrandescultures.xls,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraGcu21090/2021_90donneesgrandescultures.xls
IraGcu21136,2021_136inforapgdescultures.pdf,1,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraGcu21136/2021_136inforapgdescultures.pdf
IraGcu21136,2021_136donneesdeptgrandescultures.xlsx,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraGcu21136/2021_136donneesdeptgrandescultures.xlsx
IraGcu21136,2021_136donneesgrandescultures.xlsx,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraGcu21136/2021_136donneesgrandescultures.xlsx
