disaron_nom,disaron:theme,themes_labels,themes_codes
Ana203,AGROENV|AUTANI|IAAFIL,"Agriculture et environnement|Autres animaux et productions animales|Marchés, filières",AGROENV|AUTANI|IAAFIL
Ana204,RESFOR|PROSP|CLIMAT,"Forêts, bois et dérivés|Aides, PAC, Politiques publiques|Climat",BOIS|AIDPOLITIQ|CLIMAT
Ana204_en,RESFOR|PROSP|CLIMAT,"Forêts, bois et dérivés|Aides, PAC, Politiques publiques|Climat",BOIS|AIDPOLITIQ|CLIMAT
Ana205,ANASOC|EVALPOL,"Aides, PAC, Politiques publiques",AIDPOLITIQ
Ana206,ANASOC|VEILLE|EVALPOL,"Aides, PAC, Politiques publiques",AIDPOLITIQ
Ana207,COMEXT|CLIMAT|PROSP,"Commerce extérieur, approvisionnements|Climat|Aides, PAC, Politiques publiques",COMEXTAPPRO|CLIMAT|AIDPOLITIQ
Ana208,STATUT|RESECO|ANAECO,"Exploitations, spécialisation|Résultats économiques des exploitations|Aides, PAC, Politiques publiques",EXPLOITSPEC|RESECOMPTE|AIDPOLITIQ
Ana209,PRAELEV|TOUTCHEP,"Pratiques d’élevage|Tous animaux, productions animales",PRAELEV|TOUTCHEP
Ana21,PROSP|EVALPOL|COMPINT,"Aides, PAC, Politiques publiques",AIDPOLITIQ
Ana21-en,PROSP|EVALPOL|COMPINT,"Aides, PAC, Politiques publiques",AIDPOLITIQ
Ana210,IAAFIL|COMPINT|LAIT,"Marchés, filières|Aides, PAC, Politiques publiques|Bovins, ovins, caprins, lait",IAAFIL|AIDPOLITIQ|CHEPTLAIT
Ana211,BOISECO|PROSP|CLIMAT,"Forêts, bois et dérivés|Aides, PAC, Politiques publiques|Climat",BOIS|AIDPOLITIQ|CLIMAT
Ana212,IAAFIL|COMPINT|LAIT,"Marchés, filières|Aides, PAC, Politiques publiques|Bovins, ovins, caprins, lait",IAAFIL|AIDPOLITIQ|CHEPTLAIT
Ana213,AGROENV|AUTANI|TOUTCULT,"Agriculture et environnement|Autres animaux et productions animales|Toutes cultures, productions végétales",AGROENV|AUTANI|TOUTCULT
Ana214,SOCIO|AGROINST|ANASOC,"Population agricole, emploi|Installation, équipement|Aides, PAC, Politiques publiques",POPAGREMP|INSTEQUIP|AIDPOLITIQ
Ana215,SOCIO|AGROINST|AGROFORM,"Population agricole, emploi|Installation, équipement|Formation",POPAGREMP|INSTEQUIP|AGROFORM
Ana216,SOCIO|AGROINST|ANASOC,"Population agricole, emploi|Installation, équipement|Aides, PAC, Politiques publiques",POPAGREMP|INSTEQUIP|AIDPOLITIQ
Ana217,AGROEMP|AGROINST|ANASOC,"Population agricole, emploi|Installation, équipement|Aides, PAC, Politiques publiques",POPAGREMP|INSTEQUIP|AIDPOLITIQ
Ana218,AGROEMP|AGROINST|ANASOC,"Population agricole, emploi|Installation, équipement|Aides, PAC, Politiques publiques",POPAGREMP|INSTEQUIP|AIDPOLITIQ
Ana219,COMEXT|ANAECO|COMPINT,"Commerce extérieur, approvisionnements|Aides, PAC, Politiques publiques",COMEXTAPPRO|AIDPOLITIQ
Ana22,BIO|SOCIO|ANASOC,"Sol|Population agricole, emploi|Aides, PAC, Politiques publiques",SOLBIODIV|POPAGREMP|AIDPOLITIQ
Ana220,IAAFIL|COMPINT|AIDE,"Marchés, filières|Aides, PAC, Politiques publiques",IAAFIL|AIDPOLITIQ
Ana221,AGROENV|SOQO|IAAFIL,"Agriculture et environnement|Bio, labels, signes de qualité|Marchés, filières",AGROENV|SOQO|IAAFIL
Ana222,TISSU|IAAFIL|BOVIN,"Industries agro-alimentaires (IAA)|Marchés, filières|Bovins, ovins, caprins, lait",IAA|IAAFIL|CHEPTLAIT
Ana223,ANASOC|AGROFORM|AGROEMP,"Aides, PAC, Politiques publiques|Formation|Population agricole, emploi",AIDPOLITIQ|AGROFORM|POPAGREMP
Ana224,RESFOR|CLIMAT|PROSP,"Forêts, bois et dérivés|Climat|Aides, PAC, Politiques publiques",BOIS|CLIMAT|AIDPOLITIQ
Ana225,FRUIT|LEGUME|CLIMAT,Fruits et légumes|Climat,FRUILEG|CLIMAT
Ana226,COMPINT|PROSP|COMEXT,"Aides, PAC, Politiques publiques|Commerce extérieur, approvisionnements",AIDPOLITIQ|COMEXTAPPRO
Ana23,RESECO|AIDE|ANAECO,"Résultats économiques des exploitations|Aides, PAC, Politiques publiques",RESECOMPTE|AIDPOLITIQ
Ana24,COMPINT|AGROENV|ALIMSECU,"Aides, PAC, Politiques publiques|Agriculture et environnement|Santé, sécurité alimentaire",AIDPOLITIQ|AGROENV|SANTALIM
Ana25,ALIMSECU|SOCIO|AIDE,"Santé, sécurité alimentaire|Population agricole, emploi|Aides, PAC, Politiques publiques",SANTALIM|POPAGREMP|AIDPOLITIQ
Ana26,PROSP|NRJ|AIDE|AGROENV,"Aides, PAC, Politiques publiques|Énergie|Agriculture et environnement",AIDPOLITIQ|NRJ|AGROENV
